user_id,rank,problem_id,p_ac,difficulty,in_growth_band
1,1,24,0.4601561427116394,2,1
1,2,41,0.4601561427116394,2,1
1,3,71,0.4601561427116394,2,1
1,4,136,0.4601561427116394,2,1
1,5,137,0.4601561427116394,2,1
1,6,142,0.4601561427116394,2,1
1,7,149,0.4601561427116394,2,1
1,8,156,0.4601561427116394,2,1
1,9,160,0.4601561427116394,2,1
1,10,163,0.4601561427116394,2,1
2,1,4819,0.46379363536834717,5,1
2,2,9466,0.46379363536834717,5,1
2,3,570,0.4468161463737488,5,1
2,4,785,0.4468161463737488,5,1
2,5,2137,0.4468161463737488,5,1
2,6,2701,0.4468161463737488,5,1
2,7,3423,0.4468161463737488,5,1
2,8,4238,0.4468161463737488,5,1
2,9,4525,0.4468161463737488,5,1
2,10,6394,0.4468161463737488,5,1
3,1,9585,0.4681003987789154,4,1
3,2,143,0.4710553288459778,3,1
3,3,158,0.4710553288459778,3,1
3,4,219,0.4710553288459778,3,1
3,5,340,0.4710553288459778,3,1
3,6,342,0.4710553288459778,3,1
3,7,453,0.4710553288459778,3,1
3,8,532,0.4710553288459778,3,1
3,9,557,0.4710553288459778,3,1
3,10,558,0.4710553288459778,3,1
4,1,962,0.45519813895225525,7,1
4,2,2223,0.45519813895225525,7,1
4,3,5828,0.44196057319641113,7,1
4,4,684,0.44165879487991333,7,1
4,5,984,0.44165879487991333,7,1
4,6,1294,0.44165879487991333,7,1
4,7,1505,0.44165879487991333,7,1
4,8,1888,0.44165879487991333,7,1
4,9,2048,0.44165879487991333,7,1
4,10,2071,0.44165879487991333,7,1
5,1,87,0.45809343457221985,5,1
5,2,97,0.45809343457221985,5,1
5,3,99,0.45809343457221985,5,1
5,4,118,0.45809343457221985,5,1
5,5,211,0.45809343457221985,5,1
5,6,268,0.45809343457221985,5,1
5,7,321,0.45809343457221985,5,1
5,8,328,0.45809343457221985,5,1
5,9,412,0.45809343457221985,5,1
5,10,420,0.45809343457221985,5,1
6,1,4538,0.4599035382270813,5,1
6,2,4146,0.46044406294822693,6,1
6,3,780,0.4594423174858093,4,1
6,4,4607,0.4594423174858093,4,1
6,5,7339,0.4594423174858093,4,1
6,6,8527,0.4594423174858093,4,1
6,7,8745,0.4594423174858093,4,1
6,8,8784,0.4594423174858093,4,1
6,9,8943,0.4594423174858093,4,1
6,10,5879,0.45943692326545715,5,1
7,1,7604,0.45930442214012146,3,1
7,2,69,0.46225205063819885,2,1
7,3,77,0.46225205063819885,2,1
7,4,173,0.46225205063819885,2,1
7,5,230,0.46225205063819885,2,1
7,6,283,0.46225205063819885,2,1
