user_id,rank,problem_id,p_ac,difficulty,in_growth_band
1,1,818,0.645016610622406,4,1
1,2,9871,0.6391648054122925,4,1
1,3,2778,0.638938307762146,2,1
1,4,8728,0.634262204170227,2,1
1,5,8863,0.549026608467102,5,1
1,6,1448,0.549026608467102,5,1
1,7,7277,0.5427142977714539,5,1
1,8,2930,0.5425924062728882,4,1
1,9,8918,0.5425924062728882,4,1
1,10,9389,0.5394313335418701,1,1
2,1,5050,0.6620705127716064,3,1
2,2,3337,0.6618064045906067,3,1
2,3,7962,0.6571550369262695,3,1
2,4,4056,0.6571550369262695,3,1
2,5,4338,0.6571550369262695,3,1
2,6,8769,0.6571550369262695,3,1
2,7,3381,0.6571550369262695,3,1
2,8,7446,0.6561126112937927,3,1
2,9,5049,0.6536779999732971,3,1
2,10,7957,0.6531201601028442,3,1
3,1,7317,0.6929222345352173,2,1
3,2,1078,0.6842881441116333,1,1
3,3,5816,0.6842881441116333,1,1
3,4,4956,0.6842881441116333,1,1
3,5,6538,0.6842881441116333,1,1
3,6,5764,0.6842881441116333,1,1
3,7,7330,0.6842881441116333,1,1
3,8,8852,0.6842881441116333,1,1
3,9,5276,0.6842881441116333,1,1
3,10,3742,0.6842881441116333,1,1
4,1,4819,0.6937776207923889,5,1
4,2,9466,0.6937776207923889,5,1
4,3,8684,0.6823844313621521,5,1
4,4,3436,0.6811259388923645,5,1
4,5,5850,0.6811259388923645,5,1
4,6,10254,0.6811259388923645,5,1
4,7,6035,0.6811259388923645,5,1
4,8,10486,0.6811259388923645,5,1
4,9,8792,0.6801209449768066,5,1
4,10,570,0.6801209449768066,5,1
5,1,8478,0.6998955011367798,3,1
5,2,3609,0.6998955011367798,3,1
5,3,7089,0.6998955011367798,3,1
5,4,2472,0.6998955011367798,3,1
5,5,5126,0.6998955011367798,3,1
5,6,7444,0.6998955011367798,3,1
5,7,6994,0.6998955011367798,3,1
5,8,5564,0.6965911388397217,3,1
5,9,3821,0.6965911388397217,3,1
5,10,2758,0.6965911388397217,3,1
6,1,5848,0.6645014882087708,2,1
6,2,5116,0.6645014882087708,2,1
6,3,617,0.6645014882087708,2,1
6,4,618,0.6645014882087708,2,1
6,5,8676,0.6645014882087708,2,1
6,6,8677,0.6645014882087708,2,1
6,7,8679,0.6645014882087708,2,1
6,8,5649,0.6645014882087708,2,1
6,9,7984,0.6630947589874268,2,1
6,10,4511,0.6630947589874268,2,1
7,1,1172,0.6788130402565002,1,1
7,2,9862,0.6786164045333862,2,1
7,3,5848,0.6171488761901855,2,1
7,4,7954,0.6087486147880554,4,1
7,5,8534,0.6060696244239807,5,1
7,6,5155,0.5951327085494995,5,1
7,7,8462,0.5947777032852173,2,1
7,8,3742,0.5919431447982788,1,1
7,9,1166,0.5919431447982788,1,1
7,10,9389,0.5919431447982788,1,1
8,1,3002,0.6520522832870483,1,1
8,2,3280,0.5626082420349121,1,1
8,3,3621,0.5566571354866028,2,1
8,4,8294,0.55619215965271,1,1
8,5,9104,0.4715133309364319,5,1
8,6,5298,0.4567703604698181,2,1
8,7,2494,0.4567703604698181,2,1
8,8,6661,0.4563028812408447,1,1
8,9,8900,0.4547857642173767,2,1
8,10,8776,0.3748475909233093,5,0
9,1,3578,0.6998410820960999,5,1
9,2,9947,0.699432909488678,5,1
9,3,3308,0.699432909488678,5,1
9,4,10028,0.699432909488678,5,1
9,5,10029,0.699432909488678,5,1
9,6,1605,0.699432909488678,5,1
9,7,1625,0.699432909488678,5,1
9,8,1672,0.699432909488678,5,1
9,9,10059,0.699432909488678,5,1
9,10,7474,0.699432909488678,5,1
10,1,8777,0.6615854501724243,3,1
10,2,4380,0.6614754796028137,2,1
10,3,7927,0.6612604260444641,4,1
10,4,1388,0.654461681842804,5,1
10,5,8366,0.639797031879425,2,1
10,6,8769,0.5794250965118408,3,1
10,7,5877,0.575788676738739,4,1
10,8,4386,0.5741738677024841,4,1
10,9,6460,0.5654929876327515,7,1
10,10,8710,0.559038519859314,4,1
11,1,1142,0.698591947555542,2,1
11,2,1414,0.698591947555542,2,1
11,3,9510,0.6976182460784912,2,1
11,4,3476,0.6976182460784912,2,1
11,5,7317,0.6976182460784912,2,1
11,6,7588,0.6976182460784912,2,1
11,7,5223,0.6976182460784912,2,1
11,8,7692,0.6976182460784912,2,1
11,9,475,0.6976182460784912,2,1
11,10,4457,0.6976182460784912,2,1
